alert,confidence,cweid,risk,wascid
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Absence of Anti-CSRF Tokens,Low,352,Medium,9
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",High,200,Low,13
X-Content-Type-Options Header Missing,Medium,693,Low,15
"Server Leaks Information via ""X-Powered-By"" HTTP Response Header Field(s)",Medium,200,Low,13
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
Missing Anti-clickjacking Header,Medium,1021,Medium,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",High,200,Low,13
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",High,200,Low,13
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",High,200,Low,13
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",High,200,Low,13
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
"Server Leaks Information via ""X-Powered-By"" HTTP Response Header Field(s)",Medium,200,Low,13
Charset Mismatch (Header Versus Meta Content-Type Charset),Low,436,Informational,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",High,200,Low,13
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
"Server Leaks Information via ""X-Powered-By"" HTTP Response Header Field(s)",Medium,200,Low,13
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",High,200,Low,13
Content Security Policy (CSP) Header Not Set,High,693,Medium,15
